DATE,TYPE,REF #,DESCRIPTION,FEES,AMOUNT,BALANCE
2015-11-17,SELL,35166597,SOLD +MSFX 41 @84.22 (LOT 93.91),7.95,3445.07,4522.01
2015-12-03,DIV,48233019,ORDINARY DIVIDEND~CSKO,0,9.01,4531.02
2015-12-14,DIV,93099952,ORDINARY DIVIDEND~HOOL,0,7.00,4538.02
2015-12-18,DIV,68604400,ORDINARY DIVIDEND~HOOL,0,6.96,4544.98
2015-12-21,DIV,19159651,ORDINARY DIVIDEND~CSKO,0,18.40,4563.38
2015-12-29,BUY,30632545,BOUGHT +BAPL 71 @58.42,7.95,-4155.77,407.61
2016-01-05,DIV,69390977,ORDINARY DIVIDEND~BAPL,0,19.04,426.65
2016-01-18,DIV,50183865,ORDINARY DIVIDEND~MSFX,0,8.25,434.90
2016-01-28,DIV,90876232,ORDINARY DIVIDEND~HOOL,0,8.26,443.16
2016-02-02,DIV,78355964,ORDINARY DIVIDEND~MSFX,0,8.04,451.20
2016-02-05,SELL,65828025,SOLD +CSKO 81 @51.83 (LOT 63.85),7.95,4190.28,4641.48
2016-02-07,DIV,18110667,ORDINARY DIVIDEND~CSKO,0,24.41,4665.89
