DATE,TYPE,REF #,DESCRIPTION,FEES,AMOUNT,BALANCE
2014-04-14,BUY,14167001,BOUGHT +CSKO 50 @98.35,7.95,-4925.45,25674.63
2014-05-08,BUY,12040838,BOUGHT +HOOL 121 @79.11,7.95,-9580.26,16094.37
2014-05-11,BUY,41579908,BOUGHT +MSFX 104 @64.39,7.95,-6704.51,9389.86
2014-05-22,DIV,54857517,ORDINARY DIVIDEND~HOOL,0,28.56,9418.42
2014-05-23,XFER,27634682,CLIENT REQUESTED ELECTRONIC FUNDING,0,7148.74,16567.16
2014-05-25,DIV,31749124,ORDINARY DIVIDEND~CSKO,0,9.63,16576.79
2014-05-28,BUY,83788120,BOUGHT +HOOL 92 @52.10,7.95,-4801.15,11775.64
2014-05-29,DIV,97871874,ORDINARY DIVIDEND~HOOL,0,7.49,11783.13
2014-06-05,DIV,85665025,ORDINARY DIVIDEND~CSKO,0,16.32,11799.45
2014-06-14,DIV,31730597,ORDINARY DIVIDEND~HOOL,0,15.60,11815.05
2014-06-21,BUY,22346704,BOUGHT +MSFX 101 @78.00,7.95,-7885.95,3929.10
2014-06-23,DIV,36811051,ORDINARY DIVIDEND~HOOL,0,8.70,3937.80
2014-07-01,DIV,30631356,ORDINARY DIVIDEND~MSFX,0,9.39,3947.19
2014-07-12,DIV,33403638,ORDINARY DIVIDEND~MSFX,0,16.64,3963.83
