DATE,TYPE,REF #,DESCRIPTION,FEES,AMOUNT,BALANCE
2015-05-17,DIV,57567122,ORDINARY DIVIDEND~HOOL,0,15.96,872.93
2015-05-18,SELL,98562913,SOLD +BAPL 146 @32.01 (LOT 26.15),7.95,4665.51,5538.44
2015-05-19,DIV,45119594,ORDINARY DIVIDEND~HOOL,0,13.91,5552.35
2015-05-26,SELL,53367649,SOLD +CSKO 89 @66.30 (LOT 63.85),7.95,5892.75,11445.10
2015-06-07,BUY,56695140,BOUGHT +HOOL 777 @5.16,7.95,-4017.27,7427.83
2015-06-19,DIV,17207133,ORDINARY DIVIDEND~BAPL,0,12.79,7440.62
2015-06-20,DIV,50840576,ORDINARY DIVIDEND~BAPL,0,13.89,7454.51
2015-06-25,DIV,88647893,ORDINARY DIVIDEND~BAPL,0,10.13,7464.64
2015-06-29,BUY,22740217,BOUGHT +CSKO 54 @64.93,7.95,-3514.17,3950.47
2015-07-02,DIV,27217440,ORDINARY DIVIDEND~HOOL,0,26.19,3976.66
2015-07-18,DIV,64873832,ORDINARY DIVIDEND~BAPL,0,9.80,3986.46
2015-07-19,BUY,51600680,BOUGHT +HOOL 31 @97.08,7.95,-3017.43,969.03
