DATE,TYPE,REF #,DESCRIPTION,FEES,AMOUNT,BALANCE
2014-11-27,SELL,92392307,SOLD +CSKO 93 @33.31 (LOT 32.59),7.95,3089.88,6525.88
2014-12-01,DIV,10447525,ORDINARY DIVIDEND~CSKO,0,6.82,6532.70
2014-12-02,BUY,74330963,BOUGHT +HOOL 55 @66.61,7.95,-3671.50,2861.20
2014-12-13,SELL,79580321,SOLD +HOOL 50 @39.13 (LOT 42.33),7.95,1948.55,4809.75
2014-12-20,DIV,60292945,ORDINARY DIVIDEND~CSKO,0,5.17,4814.92
2014-12-22,DIV,98071623,ORDINARY DIVIDEND~HOOL,0,19.97,4834.89
2014-12-31,BUY,94789086,BOUGHT +MSFX 87 @50.34,7.95,-4387.53,447.36
2015-01-05,DIV,89525843,ORDINARY DIVIDEND~CSKO,0,23.67,471.03
2015-01-17,XFER,92120597,CLIENT REQUESTED ELECTRONIC FUNDING,0,4876.00,5347.03
2015-01-19,BUY,76302399,BOUGHT +HOOL 40 @99.15,7.95,-3973.95,1373.08
2015-02-02,DIV,57564142,ORDINARY DIVIDEND~HOOL,0,7.98,1381.06
2015-02-06,DIV,90692243,ORDINARY DIVIDEND~BAPL,0,12.27,1393.33
2015-02-20,DIV,34606455,ORDINARY DIVIDEND~BAPL,0,14.83,1408.16
2015-02-22,DIV,16360724,ORDINARY DIVIDEND~BAPL,0,24.24,1432.40
